異動,藥品代號,藥品英文名稱,藥品中文名稱,規格量,規格單位,單複方,參考價,有效起日,有效迄日,製造廠名稱,劑型,成份,ATC_CODE,
,A000072100,EPHEDRINE HCL TABELTS 25MG ”CENTRAL”,鹽酸麻黃　錠２５公絲,0,,單方,0.56,1030701,9991231,黃氏製藥股份有限公司,錠劑,EPHEDRINE HCL,R03CA02,
,A000076100,ACETAMINOPHEN TABLETS 0.3 GM ”F.Y.”,安世多阿米諾思錠０．３公克,0,,單方,0.25,1030701,9991231,福元化學製藥股份有限,錠劑,ACETAMINOPHEN (=PARACETAMOL),N02BE01,
,A000096100,MENNA CAPSULES,明那膠囊,0,,單方,0.48,840301,9991231,強生化學製藥廠股份有,膠囊劑,DIPHENHYDRAMINE HCL,R06AA02,
,A000137151,BROWN MIXTURE LIQUID (WITHOUT OPIUM),複方甘草合劑液（不含阿片）,60,ML,複方,5.5,920301,9991231,華盛頓製藥廠股份有限,液劑,ANTIMONY POTASSIUM TARTRATE+GLYCYRRHIZA FLUIDEXTRACT,R05CA10,
,A000173100,FUDECOUGH TABLETS 15MG ”F.Y.”,福得可錠１５公絲,0,,單方,0.47,1110101,9991231,福元化學製藥股份有限,錠劑,DEXTROMETHORPHAN HBR,R05DA09,
,A000389100,LUXSON TABLETS 40MG,消氣爽錠４０公絲,0,,單方,0.2,840301,9991231,強生化學製藥廠股份有,錠劑,DIMETHICONE (=DIMETHYLPOLYSILOXANE=POLYMETHYL SILOXANE),A03AX13,
,A000415100,GASMIN TABLETS ”F.Y.”,瓦斯敏錠,0,,單方,0.3,840301,9991231,福元化學製藥股份有限,錠劑,DIMETHICONE (=DIMETHYLPOLYSILOXANE=POLYMETHYL SILOXANE),A03AX13,
,A000429100,WINON TABLETS,偉濃錠,0,,單方,2.22,1080401,9991231,豐田藥品股份有限公司,錠劑,NALIDIXIC ACID,J01MB02,
,A000604151,MEDICON SYRUP,滅咳康糖漿,60,ML,複方,29.7,1110101,9991231,臺灣鹽野義製藥股份有,糖漿劑,DEXTROMETHORPHAN HBR+POTASSIUM CRESOLSULFONATE,R05FA02,
,A000822157,FUSOCO SYRUP ”L.S.”,服嗽咳糖漿,120,ML,複方,30.1,1050401,9991231,龍杏生技製藥股份有限,糖漿劑,AMMONIUM CHLORIDE+CHLORPHENIRAMINE MALEATE+DEXTROMETHORPHAN HBR+METHYLEPHEDRINE DL- HCL+POTASSIUM GUAIACOL SULFONATE,R05FA02,
,A000895100,TRANZEPAM TABLETS,可助寧錠,0,,單方,0.8,1030701,9991231,約克製藥股份有限公司,錠劑,DIAZEPAM,N05BA01,
,A001046100,MAGNESIUM OXIDE TABLETS ”H.L”,”華琳”氧化鎂錠,0,,單方,0.32,1120601,9991231,華琳實業有限公司,錠劑,MAGNESIUM OXIDE,A02AA02,
,A001050277,DEXTROSE INJECTION 10% ”ASTAR”,葡萄糖注射液１０％,500,ML,單方,21.1,1030701,9991231,安星製藥股份有限公司,注射劑,DEXTROSE,B05BA03,
,A001217100,DIAZEPAM TABLETS,維靜錠,0,,單方,0.8,1030701,9991231,華盛頓製藥廠股份有限,錠劑,DIAZEPAM,N05BA01,
,A001226100,PREDNISOLONE TABLETS 5MG ”S.Y.”,保利朗錠５公絲,0,,單方,0.9,1030701,9991231,健喬信元醫藥生技股份,錠劑,PREDNISOLONE,H02AB06,
,A001398100,NALIDIN TABLETS 500MG ”N.C.P.”,那利定錠５００公絲,0,,單方,2.22,1080401,9991231,新喜國際企業股份有限,錠劑,NALIDIXIC ACID,J01MB02,
,A001420309,FURAN OINTMENT,膚朗軟膏,1,GM,單方,0.28,1001201,9991231,生達化學製藥股份有限,軟膏劑,NITROFURAZONE,D08AF01,
,A001437277,AMPICILLIN INJECTION 500 MG ”CHI SHENG”,”濟生”安比西林注射劑５００毫克,500,MG,單方,10.6,1050501,9991231,濟生醫藥生技股份有限,注射劑,AMPICILLIN (SODIUM),J01CA01,
,A001448100,NOSCAPINE TABLETS ”YU SHENG”,諾司卡賓錠,0,,單方,0.83,1110101,9991231,優生製藥廠股份有限公,錠劑,NOSCAPINE,R05DA07,
,A001584100,MAGNESIA TABLETS ”WASHINGTON”,氧化鎂錠,0,,單方,0.32,1120601,9991231,華盛頓製藥廠股份有限,錠劑,MAGNESIUM OXIDE,A02AA02,
,A001646100,DIAZEPAM TABLETS ”KINGDOM”,丹祈屏錠２公絲,0,,單方,0.8,1030701,9991231,健喬信元醫藥生技股份,錠劑,DIAZEPAM,N05BA01,
,A0016461G0,DIAZEPAM TABLETS(鋁箔),”景德”丹祈屏錠２公絲,0,,單方,1.5,1030501,9991231,健喬信元醫藥生技股份,錠劑,DIAZEPAM,N05BA01,
,A001701238,ANTIMIN INJECTION ”C.C.P.”,安他敏注射液,20,ML,複方,12,920301,9991231,中國化學製藥股份有限,注射劑,BIOTIN+CYSTEINE L-+GLYCINE (=AMINOACETIC ACID)(=GLYCOCOLL)+GLYCYRRHIZIC ACID (=GLYCYRRHETINIC ACID GLYCOSIDE),A05BA,
,A001713100,ENZYME TABLETS ”H.C.T.”,複方酵素錠,0,,複方,3.68,1110101,9991231,回春堂製藥廠股份有限,錠劑,AMYLASE ALPHA-+DIASTASE BIO-,A09AA02,
,A001782100,CABETAN S.C. TABLETS,咳必坦糖衣錠,0,,單方,0.38,1060401,9991231,生達化學製藥股份有限,糖衣錠,CARBETAPENTANE CITRATE,R05DB05,
,A001850100,AMPICILLIN CAPSULES 250MG ”PANBIOTIC”,安比西林膠囊２５０公絲,0,,單方,1.02,1030701,9991231,臺灣汎生製藥廠股份有,膠囊劑,AMPICILLIN (TRIHYDRATE),J01CA01,
