異動,藥品代號,藥品英文名稱,藥品中文名稱,規格量,規格單位,單複方,參考價,有效起日,有效迄日,製造廠名稱,劑型,成份,ATC_CODE,Unnamed: 14,適應症,用法用量,注意事項
,A000072100,EPHEDRINE HCL TABELTS 25MG ”CENTRAL”,鹽酸麻黃　錠２５公絲,0.0,,單方,0.56,1030701,9991231,黃氏製藥股份有限公司,錠劑,EPHEDRINE HCL,R03CA02,,支氣管氣喘、血管運動性鼻炎、過敏性鼻炎,成人每次1至2錠（25-50mg），必要時每3至4小時一次。,禁忌症：若患有嚴重高血壓、冠狀動脈疾病、狹角性青光眼，或正在服用MAO抑制劑者，禁止使用本藥。
,A000076100,ACETAMINOPHEN TABLETS 0.3 GM ”F.Y.”,安世多阿米諾思錠０．３公克,0.0,,單方,0.25,1030701,9991231,福元化學製藥股份有限,錠劑,ACETAMINOPHEN (=PARACETAMOL),N02BE01,,退燒、止痛。緩解頭痛、牙痛、咽喉痛、關節痛、神經痛、肌肉酸痛、月經痛等症狀。,成人 (12歲以上)：發燒或需要時服用，每次1錠。若症狀持續，可每4至6小時重複服用，但24小時內不可超過5次。,對乙醯胺酚 (acetaminophen) 成分過敏者請勿使用。
,A000096100,MENNA CAPSULES,明那膠囊,0.0,,單方,0.48,840301,9991231,強生化學製藥廠股份有,膠囊劑,DIPHENHYDRAMINE HCL,R06AA02,,緩解過敏性鼻炎、枯草熱所引起的相關症狀，如流鼻水、打噴嚏、眼睛及喉部搔癢。緩解過敏所引起的搔癢、皮膚癢疹。預防或緩解動暈症（暈車、暈船、暈機）引起的頭暈、噁心、嘔吐、頭痛等症狀。,成人及12歲以上：一日3次，每次1粒，每次服用需間隔4小時以上。,服用後可能引起嗜睡，請勿駕駛車輛或操作危險機械。
,A000137151,BROWN MIXTURE LIQUID (WITHOUT OPIUM),複方甘草合劑液（不含阿片）,60.0,ML,複方,5.5,920301,9991231,華盛頓製藥廠股份有限,液劑,ANTIMONY POTASSIUM TARTRATE+GLYCYRRHIZA FLUIDEXTRACT,R05CA10,,鎮咳、祛痰。,成人： 一般建議用量為每次5至10毫升，每日3次。,可能會引起思睡、眩暈，服藥後應避免駕駛或操作機械。
,A000173100,FUDECOUGH TABLETS 15MG ”F.Y.”,福得可錠１５公絲,0.0,,單方,0.47,1110101,9991231,福元化學製藥股份有限,錠劑,DEXTROMETHORPHAN HBR,R05DA09,,鎮咳（緩解因感冒、咽頭炎、支氣管炎等引起的咳嗽）。,成人及12歲以上： 每次1錠。每日服用3至4次。,曾對此藥任何成分過敏者、最近14天內曾使用單胺氧化酶抑制劑（MAOI）者請勿使用。
,A000389100,LUXSON TABLETS 40MG,消氣爽錠４０公絲,0.0,,單方,0.2,840301,9991231,強生化學製藥廠股份有,錠劑,DIMETHICONE (=DIMETHYLPOLYSILOXANE=POLYMETHYL SILOXANE),A03AX13,,解除脹氣。改善腹部症狀。,成人及3歲以上孩童，一天3至4次，每次1錠（40毫克），或於需要時服用。,若曾對藥物或食物有任何過敏反應（如搔癢、皮疹），請務必告知醫師或藥師。
,A000415100,GASMIN TABLETS ”F.Y.”,瓦斯敏錠,0.0,,單方,0.3,840301,9991231,福元化學製藥股份有限,錠劑,DIMETHICONE (=DIMETHYLPOLYSILOXANE=POLYMETHYL SILOXANE),A03AX13,,解除脹氣以及緩解由氣脹引起的相關症狀。,成人及3歲以上兒童：一天3至4次，每次1錠，或在需要時服用。,曾對藥物中任何成分產生過敏反應的人請勿使用。
,A000429100,WINON TABLETS,偉濃錠,0.0,,單方,2.22,1080401,9991231,豐田藥品股份有限公司,錠劑,NALIDIXIC ACID,J01MB02,,治療由革蘭氏陰性球菌引起的感染症，包括：尿路感染症、細菌性赤痢、腸炎,此藥品為醫師處方藥，具體的用法與用量需由醫師根據患者的病情決定。,本藥品必須經由醫師診斷後開立處方才能使用。
,A000604151,MEDICON SYRUP,滅咳康糖漿,60.0,ML,複方,29.7,1110101,9991231,臺灣鹽野義製藥股份有,糖漿劑,DEXTROMETHORPHAN HBR+POTASSIUM CRESOLSULFONATE,R05FA02,,鎮咳、祛痰，用於緩解因咽喉炎、喉頭炎、支氣管炎、支氣管擴張症、支氣管氣喘所引起的咳嗽及咳痰。,成人及12歲以上： 每次 6 mL。每日服用3次，或遵照醫師指示使用。,曾對此藥任何成分過敏者、正在服用單胺氧化酶抑制劑 (MAOI) 或血清素回收抑制劑 (SSRI) 等抗憂鬱藥物者請勿使用。
,A000822157,FUSOCO SYRUP ”L.S.”,服嗽咳糖漿,120.0,ML,複方,30.1,1050401,9991231,龍杏生技製藥股份有限,糖漿劑,AMMONIUM CHLORIDE+CHLORPHENIRAMINE MALEATE+DEXTROMETHORPHAN HBR+METHYLEPHEDRINE DL- HCL+POTASSIUM GUAIACOL SULFONATE,R05FA02,,鎮咳與祛痰。,成人：通常建議成人每次服用約 10 毫升，每日 3 至 4 次。,若曾對藥物成分過敏，請勿使用。
